k	avg_asq	sd_asq	bg    -zr50cu45al5 asq_total fem 2nm data see 040411 for details
0.35463805	0.00656243	0.000297578	0.0
0.36554999	0.00665367	0.000296373	0.0
0.37646193	0.00704566	0.000295769	0.0
0.38737387	0.00785729	0.000336455	0.0
0.39828581	0.00804974	0.000364758	0.0
0.40919775	0.00770843	0.000346371	0.0
0.42010969	0.00674828	0.000254534	0.0
0.43102163	0.00600217	0.000224811	0.0
0.44193357	0.00541975	0.000221536	0.0
0.45284551	0.00486141	0.000207759	0.0
0.46375745	0.00439798	0.000180962	0.0
0.47466939	0.00402304	0.000181333	0.0
0.48558133	0.00388867	0.000196125	0.0
0.49649327	0.00351237	0.000161623	0.0
0.50740521	0.00295	0.000125485	0.0
0.51831715	0.00268972	0.000131467	0.0
0.52922909	0.00248278	0.000118339	0.0
0.54014103	0.00231827	0.000105018	0.0
0.55105297	0.00235422	9.75485E-05	0.0
0.56196491	0.00212066	9.81435E-05	0.0
0.57287685	0.00203509	9.57934E-05	0.0
0.58378879	0.00208914	8.42076E-05	0.0
0.59470073	0.00205735	0.000086148	0.0
0.60561267	0.00202575	7.75908E-05	0.0
0.61652461	0.00210337	8.98113E-05	0.0
0.62743655	0.00210564	0.000100113	0.0
0.63834849	0.00208913	0.00010116	0.0
0.64926043	0.00218875	8.89289E-05	0.0
0.66017237	0.00211296	9.56892E-05	0.0
0.67108431	0.00197461	8.55853E-05	0.0
0.68199625	0.00192998	7.92329E-05	0.0
0.69290819	0.00186569	8.22889E-05	0.0
-1
