k	avg_a10m	sd_10m	bg  - zr50cu45al5 anneal 300c 10min data 2nm fem see 040411 for details
0.35463805	0.00641202	0.000578587	0.0
0.36554999	0.00649484	0.000526993	0.0
0.37646193	0.00619732	0.000347145	0.0
0.38737387	0.00635988	0.000405836	0.0
0.39828581	0.006219	0.000410872	0.0
0.40919775	0.00609229	0.000421565	0.0
0.42010969	0.00587027	0.000410523	0.0
0.43102163	0.00562362	0.000360514	0.0
0.44193357	0.0053066	0.000388626	0.0
0.45284551	0.00480089	0.000384505	0.0
0.46375745	0.0043322	0.000284641	0.0
0.47466939	0.00360441	0.000246172	0.0
0.48558133	0.00333191	0.000198132	0.0
0.49649327	0.00285244	0.000189701	0.0
0.50740521	0.002423	0.000162109	0.0
0.51831715	0.00207694	0.000139715	0.0
0.52922909	0.00196057	0.000128331	0.0
0.54014103	0.00205619	0.000133104	0.0
0.55105297	0.00219789	0.000141712	0.0
0.56196491	0.00215969	0.000131263	0.0
0.57287685	0.00213488	0.000123144	0.0
0.58378879	0.00195715	0.000119069	0.0
0.59470073	0.00171786	0.000124497	0.0
0.60561267	0.00165578	0.000128185	0.0
0.61652461	0.0015588	0.000119843	0.0
0.62743655	0.0015105	0.000115567	0.0
0.63834849	0.00158844	0.000115106	0.0
0.64926043	0.00174989	0.000134465	0.0
0.66017237	0.00177158	0.000126962	0.0
0.67108431	0.00168823	0.000132109	0.0
0.68199625	0.00167523	0.000123755	0.0
0.69290819	0.00160019	9.09414E-05	0.0
-1
