k	avg_a60m	sd_60m	bg   zr50cu45al5 anneal 300c 60min data 2nm fem see 040411 for details
0.35463805	0.00804151	0.000387401	0.0
0.36554999	0.0084755	0.000405468	0.0
0.37646193	0.00864622	0.000468616	0.0
0.38737387	0.00897988	0.000474505	0.0
0.39828581	0.00843175	0.000464	0.0
0.40919775	0.00791397	0.000366915	0.0
0.42010969	0.00765396	0.000371233	0.0
0.43102163	0.00685094	0.000361589	0.0
0.44193357	0.00578561	0.000289458	0.0
0.45284551	0.00511217	0.000235696	0.0
0.46375745	0.00458569	0.000203902	0.0
0.47466939	0.00441545	0.000240783	0.0
0.48558133	0.0038153	0.000216767	0.0
0.49649327	0.00346723	0.000206371	0.0
0.50740521	0.00320575	0.000187062	0.0
0.51831715	0.00290947	0.000114437	0.0
0.52922909	0.00269829	0.000133975	0.0
0.54014103	0.00241369	0.000145018	0.0
0.55105297	0.00234231	0.000138893	0.0
0.56196491	0.00244367	0.000132606	0.0
0.57287685	0.00240261	0.000124225	0.0
0.58378879	0.00236173	0.00010704	0.0
0.59470073	0.00247633	0.000167069	0.0
0.60561267	0.00231994	0.000185189	0.0
0.61652461	0.00231055	0.000198463	0.0
0.62743655	0.00216724	0.000116224	0.0
0.63834849	0.00210298	9.84607E-05	0.0
0.64926043	0.00211461	0.000107768	0.0
0.66017237	0.00220217	0.000136761	0.0
0.67108431	0.00232846	0.00012343	0.0
0.68199625	0.0023404	0.000129211	0.0
0.69290819	0.00215953	0.000135791	0.0
-1
