k	avg_res	sd_res	bg   zr50cu45al5 anneal reset data 2nm fem see 040411 for details
0.35463805	0.006083	0.000686299	0.0
0.36554999	0.00826715	0.000776991	0.0
0.37646193	0.00818229	0.000746995	0.0
0.38737387	0.00725426	0.000625755	0.0
0.39828581	0.00722068	0.000659811	0.0
0.40919775	0.00715603	0.000673628	0.0
0.42010969	0.00662845	0.000663505	0.0
0.43102163	0.00522844	0.000510208	0.0
0.44193357	0.00393644	0.000379844	0.0
0.45284551	0.00330564	0.000339583	0.0
0.46375745	0.00352727	0.0003191	0.0
0.47466939	0.00341406	0.00036663	0.0
0.48558133	0.00305289	0.000334625	0.0
0.49649327	0.00260271	0.000252684	0.0
0.50740521	0.00238643	0.000211034	0.0
0.51831715	0.0022032	0.000193926	0.0
0.52922909	0.00179111	0.000168491	0.0
0.54014103	0.00176268	0.00018234	0.0
0.55105297	0.00160901	0.000180161	0.0
0.56196491	0.00153111	0.000169079	0.0
0.57287685	0.00148835	0.000149979	0.0
0.58378879	0.00145531	0.000131507	0.0
0.59470073	0.00171064	0.000209616	0.0
0.60561267	0.00204415	0.000221921	0.0
0.61652461	0.00225534	0.00022169	0.0
0.62743655	0.0019539	0.00023249	0.0
0.63834849	0.00185228	0.000166971	0.0
0.64926043	0.00178478	0.000185541	0.0
0.66017237	0.00154945	0.000178278	0.0
0.67108431	0.00164211	0.000153321	0.0
0.68199625	0.00148111	0.000148186	0.0
0.69290819	0.00118338	0.000107801	0.0
-1
