k	avg_val	sd_val	bg   zr50cu45al5 asq valley data 2nm fem see 040411 for details
0.35463805	0.00643953	0.000439984	0.0
0.36554999	0.00659503	0.000343626	0.0
0.37646193	0.00672518	0.000324463	0.0
0.38737387	0.00714002	0.000432244	0.0
0.39828581	0.00884535	0.000556382	0.0
0.40919775	0.00993242	0.000770121	0.0
0.42010969	0.00946872	0.000657889	0.0
0.43102163	0.00801336	0.00049918	0.0
0.44193357	0.00662775	0.000382899	0.0
0.45284551	0.00505933	0.000284697	0.0
0.46375745	0.00417974	0.000220086	0.0
0.47466939	0.0035815	0.000196307	0.0
0.48558133	0.0032539	0.000179404	0.0
0.49649327	0.00325831	0.000198661	0.0
0.50740521	0.00260953	0.000160642	0.0
0.51831715	0.00230475	0.00014247	0.0
0.52922909	0.00251244	0.000151593	0.0
0.54014103	0.00235486	0.000134398	0.0
0.55105297	0.00211437	0.000112244	0.0
0.56196491	0.00205189	0.000119031	0.0
0.57287685	0.00187265	0.000108653	0.0
0.58378879	0.00199154	0.000118393	0.0
0.59470073	0.00201282	0.000132984	0.0
0.60561267	0.00204504	0.000154036	0.0
0.61652461	0.0019148	0.0001272	0.0
0.62743655	0.00174353	0.000105204	0.0
0.63834849	0.00167886	9.76682E-05	0.0
0.64926043	0.00188276	0.000116796	0.0
0.66017237	0.00185436	8.79933E-05	0.0
0.67108431	0.0019171	9.21696E-05	0.0
0.68199625	0.00208221	0.000140071	0.0
0.69290819	0.00213523	0.000105764	0.0
-1
